net_sales,sq_ft,inventory,advertising,district_size,competing_stores
231,3,294,8.199999809,8.199999809,11
156,2.200000048,232,6.900000095,4.099999905,12
10,0.5,149,3,4.300000191,15
519,5.5,600,12,16.10000038,1
437,4.400000095,567,10.60000038,14.10000038,5
487,4.800000191,571,11.80000019,12.69999981,4
299,3.099999905,512,8.1,10.10000038,10
195,2.5,347,7.699999809,8.4,12
20,1.200000048,212,3.299999952,2.099999905,15
68,0.6000000238,102,4.900000095,4.699999809,8
570,5.400000095,788,17.39999962,12.30000019,1
428,4.199999809,577,10.5,14,7
464,4.699999809,535,11.30000019,15,3
15,0.6000000238,163,2.5,2.5,14
65,1.200000048,168,4.699999809,3.299999952,11
98,1.600000024,151,4.599999905,2.700000048,10
398,4.300000191,342,5.5,16,4
161,2.599999905,196,7.199999809,6.300000191,13
397,3.799999952,453,10.39999962,13.89999962,7
497,5.300000191,518,11.5,16.29999924,1
528,5.599999905,615,12.30000019,16,0
99,0.8000000119,278,2.799999952,6.5,14
0.5,1.100000024,142,3.099999905,1.600000024,12
347,3.599999905,461,9.6,11.30000019,6
341,3.5,382,9.800000191,11.5,5
507,5.099999905,590,12,15.69999981,0
400,8.6,517,7,12,8